9D9,63,5192019, OVT, 03:00
9D9,63,5192019, PTH, 40:00
9D9,64,5192019, REG, 40:00
9D9,64,5192019, OVT, 01:00
9D9,64,5192019, PTH, 40:00
9D9,60,5192019, REG, 70:00
9D9,60,5192019, OVT, 05:32
9D9,60,5192019,PTH,12:00
9D9,60,5192019,SCK,4:00
9D9,60,5192019,JUR,16:00
9D9,60,5192019,COM,100
9D9,69,5192019, REG, 70:00
9D9,69,5192019, OVT, 05:32
9D9,69,5192019,PTH,12:00
9D9,69,5192019,SCK,4:00
9D9,69,5192019,NOP,16:00
9D9,69,5192019,TDL,16:00
9D9,69,5192019,AFK,16:00
9D9,69,5192019,IDK,16:00
9D9,69,5192019,COM,100
9D9,68,5192019, REG, 70:00
9D9,68,5192019, OVT, 05:32
9D9,68,5192019,PTH,12:00
9D9,68,5192019,SCK,4:00
9D9,68,5192019,NOP,16:00
9D9,68,5192019,TDL,16:00
9D9,68,5192019,AFK,16:01
9D9,68,5192019,COM,100
9D9,70,5192019, REG, 70:00
9D9,70,5192019, OVT, 05:32
9D9,70,5192019,PTH,12:00
9D9,70,5192019,SCK,4:00
9D9,70,5192019,NOP,16:00
9D9,70,5192019,TDL,16:00
9D9,70,5192019,AFK,16:00
9D9,70,5192019,IDK,16:00
