9D9,         55, 02092020, REG, 77.75
9D9,         55, 02092020, OVT, 0.18
9D9,         58, 02092020, REG, 72.00
9D9,         58, 02092020, OVT, 0.62
9D9,         59, 02092020, REG, 79.50
9D9,         59, 02092020, OVT, 0.17
9D9,         60, 02092020, REG, 68.18
9D9,         60, 02092020, OVT, 2.72
9D9,         62, 02092020, REG, 79.42
9D9,         62, 02092020, OVT, 2.15
9D9,         63, 02092020, REG, 74.92
9D9,         64, 02092020, REG, 79.28
9D9,         64, 02092020, OVT, 0.58
9D9,         67, 02092020, REG, 79.37
9D9,         67, 02092020, OVT, 0.87
9D9,         73, 02092020, REG, 77.32
9D9,         73, 02092020, OVT, 16.17
9D9,         75, 02092020, REG, 80.00
9D9,         75, 02092020, OVT, 4.43
9D9,         76, 02092020, REG, 79.77
9D9,         76, 02092020, OVT, 4.43
9D9,         78, 02092020, REG, 80.00
9D9,         78, 02092020, OVT, 4.13
9D9,         79, 02092020, REG, 78.33
9D9,         79, 02092020, OVT, 1.58
9D9,         80, 02092020, REG, 79.97
9D9,         80, 02092020, OVT, 3.30
9D9,         81, 02092020, REG, 80.00
9D9,         81, 02092020, OVT, 2.22
9D9,         87, 02092020, REG, 80.00
9D9,        , 02092020, OVT, 2.75

9D9,         90, 02092020, REG, 78.67
9D9,         90, 02092020, OVT, 0.52
9D9,         91, 02092020, REG, 72.40
9D9,         91, 02092020, OVT, 2.82
9D9,         96, 02092020, REG, 80.00
9D9,         96, 02092020, OVT, 1.47
9D9,         97, 02092020, REG, 41.50
,         97, 02092020, OVT, 5.60
9D9,         98, 02092020, REG, 64.00
         98, 02092020, OVT, 5.40
9D9,         99, 02092020, REG, 47.93
9D9,         99, 02092020, OVT, 0.68
9D9,        101, 02092020, REG, 80.00
9D9,        101, 02092020, OVT, 1.85
9D9,        107, 02092020, REG, 81.98
9D9,        107, 02092020, OVT, 18.00
9D9,        107, 02092020, DBL, 0.67
9D9,        114, 02092020, REG, 64.95
9D9,        114, 02092020, OVT, 0.03
9D9,        116, 02092020, REG, 79.90
9D9,        116, 02092020, OVT, 1.27
9D9,        125, 02092020, REG, 62.82
9D9,        125, 02092020, OVT, 0.27
9D9,        126, 02092020, REG, 83.92
9D9,        126, 02092020, OVT, 11.68
9D9,        127, 02092020, REG, 69.23
9D9,        136, 02092020, REG, 80.00
9D9,        136, 02092020, OVT, 11.07
9D9,        147, 02092020, REG, 64.57
9D9,        147, 02092020, OVT, 0.07
9D9,        148, 02092020, REG, 71.00
9D9,        148, 02092020, OVT, 0.53
9D9,        151, 02092020, REG, 79.97
9D9,        151, 02092020, OVT, 2.57
